Date,close,open,high,low,涨跌幅,volume,Ticker
2023-09-07,177.56,175.18,178.21,173.54,-2.92%,112490000.0,AAPL
2023-09-08,178.18,178.35,180.24,177.79,0.35%,65599999.99999999,AAPL
2023-09-11,179.36,180.07,180.3,177.34,0.66%,58950000.0,AAPL
2023-09-12,176.3,179.49,180.13,174.82,-1.71%,90370000.0,AAPL
2023-09-13,174.21,176.51,177.3,173.98,-1.19%,84270000.0,AAPL
2023-09-14,175.74,174.0,176.1,173.58,0.88%,60900000.0,AAPL
2023-09-15,175.01,176.48,176.49,173.82,-0.42%,109260000.0,AAPL
2023-09-18,177.97,176.48,179.38,176.17,1.69%,67260000.0,AAPL
2023-09-19,179.07,177.52,179.63,177.13,0.62%,51830000.0,AAPL
2023-09-20,175.49,179.26,179.7,175.4,-2.00%,58440000.0,AAPL
2023-09-21,173.93,174.55,176.3,173.86,-0.89%,63150000.0,AAPL
2023-09-22,174.79,174.67,177.08,174.05,0.49%,56730000.0,AAPL
2023-09-25,176.08,174.2,176.97,174.15,0.74%,46170000.0,AAPL
2023-09-26,171.96,174.82,175.2,171.66,-2.34%,64590000.0,AAPL
2023-09-27,170.43,172.62,173.04,169.05,-0.89%,66920000.0,AAPL
2023-09-28,170.69,169.34,172.03,167.62,0.15%,56290000.0,AAPL
2023-09-29,171.21,172.02,173.07,170.34,0.30%,51860000.0,AAPL
2023-10-02,173.75,171.22,174.3,170.93,1.48%,52160000.0,AAPL
2023-10-03,172.4,172.26,173.63,170.82,-0.78%,49590000.0,AAPL
2023-10-04,173.66,171.09,174.21,170.97,0.73%,53020000.0,AAPL
2023-10-05,174.91,173.79,175.45,172.68,0.72%,48530000.0,AAPL
2023-10-06,177.49,173.8,177.99,173.18,1.48%,57270000.0,AAPL
2023-10-09,178.99,176.81,179.05,175.8,0.85%,42390000.0,AAPL
2023-10-10,178.39,178.1,179.72,177.95,-0.34%,43700000.0,AAPL
2023-10-11,179.8,178.2,179.85,177.6,0.79%,47550000.0,AAPL
2023-10-12,180.71,180.07,182.34,179.04,0.51%,56740000.0,AAPL
2023-10-13,178.85,181.42,181.93,178.14,-1.03%,51460000.0,AAPL
2023-10-16,178.72,176.75,179.07,176.51,-0.07%,52520000.0,AAPL
2023-10-17,177.15,176.65,178.42,174.8,-0.88%,57550000.0,AAPL
2023-10-18,175.84,175.58,177.57,175.11,-0.74%,54760000.0,AAPL
2023-10-19,175.46,176.04,177.84,175.19,-0.22%,59300000.0,AAPL
2023-10-20,172.88,175.31,175.42,172.64,-1.47%,64239999.99999999,AAPL
2023-10-23,173.0,170.91,174.01,169.93,0.07%,55980000.0,AAPL
2023-10-24,173.44,173.05,173.67,171.45,0.25%,43820000.0,AAPL
2023-10-25,171.1,171.88,173.06,170.65,-1.35%,57160000.0,AAPL
2023-10-26,166.89,170.37,171.38,165.67,-2.46%,70630000.0,AAPL
2023-10-27,168.22,166.91,168.96,166.83,0.80%,58500000.0,AAPL
2023-10-30,170.29,169.02,171.17,168.87,1.23%,51130000.0,AAPL
2023-10-31,170.77,169.35,170.9,167.9,0.28%,44850000.0,AAPL
2023-11-01,173.97,171.0,174.23,170.12,1.87%,56930000.0,AAPL
2023-11-02,177.57,175.52,177.78,175.46,2.07%,77330000.0,AAPL
2023-11-03,176.65,174.24,176.82,173.35,-0.52%,79830000.0,AAPL
2023-11-06,179.23,176.38,179.43,176.21,1.46%,63840000.0,AAPL
2023-11-07,181.82,179.18,182.44,178.97,1.45%,70530000.0,AAPL
2023-11-08,182.89,182.35,183.45,181.59,0.59%,49340000.0,AAPL
2023-11-09,182.41,182.96,184.12,181.81,-0.26%,53760000.0,AAPL
2023-11-10,186.4,183.97,186.57,183.53,2.19%,66180000.00000001,AAPL
2023-11-13,184.8,185.82,186.03,184.21,-0.86%,43630000.0,AAPL
2023-11-14,187.44,187.7,188.11,186.3,1.43%,60110000.0,AAPL
2023-11-15,188.01,187.85,189.5,187.78,0.30%,53790000.0,AAPL
2023-11-16,189.71,189.57,190.96,188.65,0.90%,54410000.0,AAPL
2023-11-17,189.69,190.25,190.38,188.57,-0.01%,50940000.0,AAPL
2023-11-20,191.45,189.89,191.9,189.88,0.93%,46540000.0,AAPL
2023-11-21,190.64,191.41,191.52,189.74,-0.42%,38130000.0,AAPL
2023-11-22,191.31,191.49,192.93,190.82,0.35%,39630000.0,AAPL
2023-11-24,189.97,190.87,190.9,189.25,-0.70%,24050000.0,AAPL
2023-11-27,189.79,189.92,190.67,188.9,-0.09%,40550000.0,AAPL
2023-11-28,190.4,189.78,191.08,189.4,0.32%,38420000.0,AAPL
2023-11-29,189.37,190.9,192.09,188.97,-0.54%,43010000.0,AAPL
2023-11-30,189.95,189.84,190.32,188.19,0.31%,48790000.0,AAPL
2023-12-01,191.24,190.33,191.56,189.23,0.68%,45700000.0,AAPL
2023-12-04,189.43,189.98,190.05,187.45,-0.95%,43390000.0,AAPL
2023-12-05,193.42,190.21,194.4,190.18,2.11%,66629999.99999999,AAPL
2023-12-06,192.32,194.45,194.76,192.11,-0.57%,41090000.0,AAPL
2023-12-07,194.27,193.63,195.0,193.59,1.01%,47480000.0,AAPL
2023-12-08,195.71,194.2,195.99,193.67,0.74%,53410000.0,AAPL
2023-12-11,193.18,193.11,193.49,191.42,-1.29%,60940000.0,AAPL
2023-12-12,194.71,193.08,194.72,191.72,0.79%,52700000.0,AAPL
2023-12-13,197.96,195.09,198.0,194.85,1.67%,70400000.0,AAPL
2023-12-14,198.11,198.02,199.62,196.16,0.08%,66830000.0,AAPL
2023-12-15,197.57,197.53,198.4,197.0,-0.27%,128539999.99999999,AAPL
2023-12-18,195.89,196.09,196.63,194.39,-0.85%,55750000.0,AAPL
2023-12-19,196.94,196.16,196.95,195.89,0.54%,40710000.0,AAPL
2023-12-20,194.83,196.9,197.68,194.83,-1.07%,52240000.0,AAPL
2023-12-21,194.68,196.1,197.08,193.5,-0.08%,46480000.0,AAPL
2023-12-22,193.6,195.18,195.41,192.97,-0.55%,37150000.0,AAPL
2023-12-26,193.05,193.61,193.89,192.83,-0.28%,28920000.0,AAPL
2023-12-27,193.15,192.49,193.5,191.09,0.05%,48090000.0,AAPL
2023-12-28,193.58,194.14,194.66,193.17,0.22%,34050000.0,AAPL
2023-12-29,192.53,193.9,194.4,191.73,-0.54%,42670000.0,AAPL
2024-01-02,185.64,187.15,188.44,183.88,-3.58%,82490000.0,AAPL
2024-01-03,184.25,184.22,185.88,183.43,-0.75%,58410000.0,AAPL
2024-01-04,181.91,182.15,183.09,180.88,-1.27%,71980000.0,AAPL
2024-01-05,181.18,181.99,182.76,180.17,-0.40%,62380000.0,AAPL
2024-01-08,185.56,182.09,185.6,181.5,2.42%,59140000.0,AAPL
2024-01-09,185.14,183.92,185.15,182.73,-0.23%,42840000.0,AAPL
2024-01-10,186.19,184.35,186.4,183.92,0.57%,46790000.0,AAPL
2024-01-11,185.59,186.54,187.05,183.62,-0.32%,49130000.0,AAPL
2024-01-12,185.92,186.06,186.74,185.19,0.18%,40480000.0,AAPL
2024-01-16,183.63,182.16,184.26,180.93,-1.23%,65599999.99999999,AAPL
2024-01-17,182.68,181.27,182.93,180.3,-0.52%,47320000.0,AAPL
2024-01-18,188.63,186.09,189.14,185.83,3.26%,78010000.0,AAPL
2024-01-19,191.56,189.33,191.95,188.82,1.55%,68900000.0,AAPL
2024-01-22,193.89,192.3,195.33,192.26,1.22%,60130000.0,AAPL
2024-01-23,195.18,195.02,195.75,193.83,0.67%,42360000.0,AAPL
2024-01-24,194.5,195.42,196.38,194.34,-0.35%,53630000.0,AAPL
2024-01-25,194.17,195.22,196.27,193.11,-0.17%,54820000.0,AAPL
2024-01-26,192.42,194.27,194.76,191.94,-0.90%,44590000.0,AAPL
2024-01-29,191.73,192.01,192.2,189.58,-0.36%,47150000.0,AAPL
2024-01-30,188.04,190.94,191.8,187.47,-1.92%,55860000.0,AAPL
2024-01-31,184.4,187.04,187.1,184.35,-1.94%,55470000.0,AAPL
2024-02-01,186.86,183.99,186.95,183.82,1.33%,64890000.0,AAPL
2024-02-02,185.85,179.86,187.33,179.25,-0.54%,102550000.0,AAPL
2024-02-05,187.68,188.15,189.25,185.84,0.98%,69670000.0,AAPL
2024-02-06,189.3,186.86,189.31,186.77,0.86%,43490000.0,AAPL
2024-02-07,189.41,190.64,191.05,188.61,0.06%,53440000.0,AAPL
2024-02-08,188.32,189.38,189.54,187.35,-0.58%,40960000.0,AAPL
2024-02-09,188.85,188.65,189.99,188.0,0.28%,45160000.0,AAPL
2024-02-12,187.15,188.41,188.67,186.79,-0.90%,41780000.0,AAPL
2024-02-13,185.04,185.77,186.21,183.51,-1.13%,56530000.0,AAPL
2024-02-14,184.15,185.32,185.53,182.44,-0.48%,54630000.0,AAPL
2024-02-15,183.86,183.55,184.49,181.35,-0.16%,65430000.00000001,AAPL
2024-02-16,182.31,183.42,184.85,181.66,-0.84%,49750000.0,AAPL
2024-02-20,181.56,181.79,182.43,180.0,-0.41%,53670000.0,AAPL
2024-02-21,182.32,181.94,182.89,180.66,0.42%,41530000.0,AAPL
2024-02-22,184.37,183.48,184.96,182.46,1.12%,52290000.0,AAPL
2024-02-23,182.52,185.01,185.04,182.23,-1.00%,45120000.0,AAPL
2024-02-26,181.16,182.24,182.76,180.65,-0.75%,40870000.0,AAPL
2024-02-27,182.63,181.1,183.92,179.56,0.81%,54320000.0,AAPL
2024-02-28,181.42,182.51,183.12,180.13,-0.66%,48950000.0,AAPL
2024-02-29,180.75,181.27,182.57,179.53,-0.37%,136680000.0,AAPL
2024-03-01,179.66,179.55,180.53,177.38,-0.60%,73560000.0,AAPL
2024-03-04,175.1,176.15,176.9,173.79,-2.54%,81510000.0,AAPL
2024-03-05,170.12,170.76,172.04,169.62,-2.84%,95130000.0,AAPL
2024-03-06,169.12,171.06,171.24,168.68,-0.59%,68590000.0,AAPL
2024-03-07,169.0,169.15,170.73,168.49,-0.07%,71770000.0,AAPL
2024-03-08,170.73,169.0,173.7,168.94,1.02%,76270000.0,AAPL
2024-03-11,172.75,172.94,174.38,172.05,1.18%,60140000.0,AAPL
2024-03-12,173.23,173.15,174.03,171.01,0.28%,59830000.0,AAPL
2024-03-13,171.13,172.77,173.18,170.76,-1.21%,52490000.0,AAPL
2024-03-14,173.0,172.91,174.31,172.05,1.09%,72910000.0,AAPL
2024-03-15,172.62,171.17,172.62,170.29,-0.22%,121750000.0,AAPL
2024-03-18,173.72,175.57,177.71,173.52,0.64%,75600000.0,AAPL
2024-03-19,176.08,174.34,176.6,173.03,1.36%,55220000.0,AAPL
2024-03-20,178.67,175.72,178.67,175.09,1.47%,53420000.0,AAPL
2024-03-21,171.37,177.05,177.49,170.84,-4.09%,106180000.0,AAPL
2024-03-22,172.28,171.76,173.05,170.06,0.53%,71160000.0,AAPL
2024-03-25,170.85,170.57,171.94,169.45,-0.83%,54290000.0,AAPL
2024-03-26,169.71,170.0,171.42,169.58,-0.67%,57390000.0,AAPL
2024-03-27,173.31,170.41,173.6,170.11,2.12%,60270000.0,AAPL
2024-03-28,171.48,171.75,172.23,170.51,-1.06%,65670000.0,AAPL
2024-04-01,170.03,171.19,171.25,169.48,-0.85%,46240000.0,AAPL
2024-04-02,168.84,169.08,169.34,168.23,-0.70%,49330000.0,AAPL
2024-04-03,169.65,168.79,170.68,168.58,0.48%,47690000.0,AAPL
2024-04-04,168.82,170.29,171.92,168.82,-0.49%,53700000.0,AAPL
2024-04-05,169.58,169.59,170.39,168.95,0.45%,42100000.0,AAPL
2024-04-08,168.45,169.03,169.2,168.24,-0.67%,37430000.0,AAPL
2024-04-09,169.67,168.7,170.08,168.35,0.72%,42450000.0,AAPL
2024-04-10,167.78,168.8,169.09,167.11,-1.11%,49710000.0,AAPL
2024-04-11,175.04,168.34,175.46,168.16,4.33%,91070000.0,AAPL
2024-04-12,176.55,174.26,178.36,174.21,0.86%,101670000.0,AAPL
2024-04-15,172.69,175.36,176.63,172.5,-2.19%,73530000.0,AAPL
2024-04-16,169.38,171.75,173.76,168.27,-1.92%,73710000.0,AAPL
2024-04-17,168.0,169.61,170.65,168.0,-0.81%,50900000.0,AAPL
2024-04-18,167.04,168.03,168.64,166.55,-0.57%,43120000.0,AAPL
2024-04-19,165.0,166.21,166.4,164.07,-1.22%,68150000.0,AAPL
2024-04-22,165.84,165.51,167.26,164.77,0.51%,48120000.0,AAPL
2024-04-23,166.9,165.35,167.05,164.92,0.64%,49540000.0,AAPL
2024-04-24,169.02,166.54,169.3,166.21,1.27%,48250000.0,AAPL
2024-04-25,169.89,169.52,170.61,168.15,0.51%,50560000.0,AAPL
2024-04-26,169.3,169.88,171.34,169.18,-0.35%,44840000.0,AAPL
2024-04-29,173.5,173.37,176.03,173.1,2.48%,68170000.0,AAPL
2024-04-30,170.33,173.33,174.99,170.0,-1.83%,65930000.00000001,AAPL
2024-05-01,169.3,169.58,172.71,169.11,-0.60%,50380000.0,AAPL
2024-05-02,173.03,172.51,173.41,170.89,2.20%,94210000.0,AAPL
2024-05-03,183.38,186.65,187.0,182.66,5.98%,163220000.0,AAPL
2024-05-06,181.71,182.35,184.2,180.42,-0.91%,78570000.0,AAPL
2024-05-07,182.4,183.45,184.9,181.32,0.38%,77310000.0,AAPL
2024-05-08,182.74,182.85,183.07,181.45,0.19%,45060000.0,AAPL
2024-05-09,184.57,182.56,184.66,182.11,1.00%,48980000.0,AAPL
2024-05-10,183.05,184.9,185.09,182.13,-0.82%,50760000.0,AAPL
2024-05-13,186.28,185.43,187.1,184.62,1.76%,72040000.0,AAPL
2024-05-14,187.43,187.51,188.3,186.29,0.62%,52390000.0,AAPL
2024-05-15,189.72,187.91,190.65,187.37,1.22%,70400000.0,AAPL
2024-05-16,189.84,190.47,191.1,189.66,0.06%,52850000.0,AAPL
2024-05-17,189.87,189.51,190.81,189.18,0.02%,41280000.0,AAPL
2024-05-20,191.04,189.32,191.92,189.01,0.62%,44360000.0,AAPL
2024-05-21,192.35,191.09,192.73,190.92,0.69%,42310000.0,AAPL
2024-05-22,190.9,192.26,192.82,190.27,-0.75%,34650000.0,AAPL
2024-05-23,186.88,190.98,191.0,186.63,-2.11%,51010000.0,AAPL
2024-05-24,189.98,188.82,190.58,188.04,1.66%,36330000.0,AAPL
2024-05-28,189.99,191.51,193.0,189.1,0.01%,52280000.0,AAPL
2024-05-29,190.29,189.61,192.25,189.51,0.16%,53070000.0,AAPL
2024-05-30,191.29,190.76,192.18,190.63,0.53%,49950000.0,AAPL
2024-05-31,192.25,191.44,192.57,189.91,0.50%,75160000.0,AAPL
2024-06-03,194.03,192.9,194.99,192.52,0.93%,50080000.0,AAPL
2024-06-04,194.35,194.63,195.32,193.03,0.16%,47470000.0,AAPL
2024-06-05,195.87,195.4,196.9,194.87,0.78%,54160000.0,AAPL
2024-06-06,194.48,195.68,196.5,194.17,-0.71%,41180000.0,AAPL
2024-06-07,196.89,194.65,196.94,194.14,1.24%,53100000.0,AAPL
2024-06-10,193.12,196.9,197.3,192.15,-1.91%,97260000.0,AAPL
2024-06-11,207.15,193.65,207.16,193.63,7.26%,172370000.0,AAPL
2024-06-12,213.07,207.37,220.2,206.9,2.86%,198130000.0,AAPL
2024-06-13,214.24,214.74,216.75,211.6,0.55%,97860000.0,AAPL
2024-06-14,212.49,213.85,215.17,211.3,-0.82%,70120000.0,AAPL
2024-06-17,216.67,213.37,218.95,212.72,1.97%,93730000.0,AAPL
2024-06-18,214.29,217.59,218.63,213.0,-1.10%,79940000.0,AAPL
2024-06-20,209.68,213.93,214.24,208.85,-2.15%,86170000.0,AAPL
2024-06-21,207.49,210.39,211.89,207.11,-1.04%,246420000.0,AAPL
2024-06-24,208.14,207.72,212.7,206.59,0.31%,80730000.0,AAPL
2024-06-25,209.07,209.15,211.38,208.61,0.45%,56710000.0,AAPL
2024-06-26,213.25,211.5,214.86,210.64,2.00%,66209999.99999999,AAPL
2024-06-27,214.1,214.69,215.74,212.35,0.40%,49770000.0,AAPL
2024-06-28,210.62,215.77,216.07,210.3,-1.63%,82540000.0,AAPL
2024-07-01,216.75,212.09,217.51,211.92,2.91%,60400000.0,AAPL
2024-07-02,220.27,216.15,220.38,215.1,1.62%,58050000.0,AAPL
2024-07-03,221.55,220.0,221.55,219.03,0.58%,37370000.0,AAPL
2024-07-05,226.34,221.65,226.45,221.65,2.16%,60410000.0,AAPL
2024-07-08,227.82,227.09,227.85,223.25,0.65%,59090000.0,AAPL
2024-07-09,228.68,227.93,229.4,226.37,0.38%,48170000.0,AAPL
2024-07-10,232.98,229.3,233.08,229.25,1.88%,62630000.0,AAPL
2024-07-11,227.57,231.39,232.39,225.77,-2.32%,64709999.99999999,AAPL
2024-07-12,230.54,228.92,232.64,228.68,1.31%,53050000.0,AAPL
2024-07-15,234.4,236.48,237.23,233.09,1.67%,62630000.0,AAPL
2024-07-16,234.82,235.0,236.27,232.33,0.18%,43230000.0,AAPL
2024-07-17,228.88,229.45,231.46,226.64,-2.53%,57350000.0,AAPL
2024-07-18,224.18,230.28,230.44,222.27,-2.05%,66030000.0,AAPL
2024-07-19,224.31,224.82,226.8,223.27,0.06%,49150000.0,AAPL
2024-07-22,223.96,227.01,227.78,223.09,-0.16%,48200000.0,AAPL
2024-07-23,225.01,224.37,226.94,222.68,0.47%,39960000.0,AAPL
2024-07-24,218.54,224.0,224.8,217.13,-2.88%,61780000.0,AAPL
