Date,close,open,high,low,涨跌幅,volume,Ticker,Return,Volatility,Volume_MA20,Volume_Ratio,Overreaction,Herding,LossAversion,Disposition,Vol_lag1
2023-05-31,177.25,177.32,179.35,176.76,-0.03%,99630000.0,AAPL,-0.0002820078962211259,0.20887450864929755,58723000.0,1.6966095056451476,0.0,,0.0,-1.6966095056451476,0.21099965606183643
2023-06-01,180.09,177.7,180.12,176.93,1.60%,68900000.0,AAPL,0.01602256699576876,0.21116407109106933,58911000.0,1.1695608629967238,0.0,,0.0,1.1695608629967238,0.20887450864929755
2023-06-02,180.95,181.03,181.78,179.26,0.48%,62000000.0,AAPL,0.004775390082736308,0.2049236042288463,57949000.0,1.069906296916254,0.0,,0.0,1.069906296916254,0.21116407109106933
2023-06-05,179.58,182.63,184.95,178.04,-0.76%,121950000.0,AAPL,-0.0075711522520032215,0.13426832995825314,58374000.0,2.0891150169596053,0.0,,0.0,-2.0891150169596053,0.2049236042288463
2023-06-06,179.21,179.96,180.12,177.43,-0.21%,64849999.99999999,AAPL,-0.0020603630693841746,0.134746715380859,58818500.0,1.102544267534874,0.0,,-0.3403633236080287,-1.102544267534874,0.13426832995825314
2023-06-07,177.82,178.44,181.21,177.32,-0.78%,61940000.0,AAPL,-0.007756263601361613,0.13242144608611248,59649000.0,1.0384080202518065,0.0,-0.15,-0.3459391615003511,-1.0384080202518065,0.134746715380859
2023-06-08,180.57,177.9,180.84,177.46,1.55%,50210000.0,AAPL,0.01546507704420197,0.13793879747642526,59473500.0,0.8442415529605622,0.0,-0.15,0.0,0.8442415529605622,0.13242144608611248
2023-06-09,180.96,181.5,182.23,180.63,0.22%,48900000.0,AAPL,0.002159827213823018,0.1379010677372713,59443000.0,0.8226368117356123,0.0,-0.15,0.0,0.8226368117356123,0.13793879747642526
2023-06-12,183.79,181.27,183.89,180.97,1.56%,54750000.0,AAPL,0.015638815207780654,0.14171469829541222,59904000.0,0.9139623397435898,0.0,-0.25,0.0,0.9139623397435898,0.1379010677372713
2023-06-13,183.31,182.8,184.15,182.44,-0.26%,54930000.0,AAPL,-0.0026116763697697776,0.1415554084673795,60787000.0,0.9036471613996414,0.0,-0.25,0.0,-0.9036471613996414,0.14171469829541222
2023-06-14,183.95,183.37,184.39,182.02,0.35%,57460000.0,AAPL,0.003491353444983858,0.14104805875728577,61554500.0,0.9334817113289848,0.0,-0.2,0.0,0.9334817113289848,0.1415554084673795
2023-06-15,186.01,183.96,186.52,183.78,1.12%,65430000.00000001,AAPL,0.011198695297635286,0.14375748406312028,61928500.0,1.0565410110046265,0.0,-0.1,0.0,1.0565410110046265,0.14104805875728577
2023-06-16,184.92,186.73,186.99,184.27,-0.59%,101260000.0,AAPL,-0.005859900005376062,0.1426173744999944,63716500.0,1.58922728021784,0.0,-0.2,0.0,-1.58922728021784,0.14375748406312028
2023-06-20,185.01,184.41,186.1,184.41,0.05%,49800000.0,AAPL,0.0004866969500325613,0.14264667141809168,63416000.0,0.7852907783524663,0.0,-0.2,0.0,0.7852907783524663,0.1426173744999944
2023-06-21,183.96,184.9,185.41,182.59,-0.57%,49520000.0,AAPL,-0.00567536889897835,0.14279773717526403,63713500.0,0.7772293156081521,0.0,-0.2,0.0,-0.7772293156081521,0.14264667141809168
2023-06-22,187.0,183.74,187.04,183.67,1.65%,51250000.0,AAPL,0.016525331593824744,0.13407266243518026,63738500.0,0.8040666159385614,0.0,-0.3,0.0,0.8040666159385614,0.14279773717526403
2023-06-23,186.68,185.55,187.56,185.01,-0.17%,53120000.0,AAPL,-0.0017112299465240621,0.13548991636146193,64137500.0,0.8282206197622296,0.0,-0.2,0.0,-0.8282206197622296,0.13407266243518026
2023-06-26,185.27,186.83,188.05,185.23,-0.76%,48090000.0,AAPL,-0.007553031926290976,0.14130406817530478,63739000.0,0.7544831265002588,0.0,-0.1,-0.2553067710535333,-0.7544831265002588,0.13548991636146193
2023-06-27,188.06,185.89,188.39,185.67,1.51%,50730000.0,AAPL,0.015059102930857549,0.14229352867023234,63534000.0,0.79847011049202,0.0,-0.1,0.0,0.79847011049202,0.14130406817530478
2023-06-28,189.25,187.93,189.9,187.6,0.63%,51220000.0,AAPL,0.006327767733701917,0.14022665075178467,63297000.0,0.8092010679811049,0.0,-0.2,0.0,0.8092010679811049,0.14229352867023234
2023-06-29,189.59,189.08,190.07,188.94,0.18%,46350000.0,AAPL,0.001796565389696081,0.13971491947263237,60633000.0,0.7644352085497996,0.0,-0.2,0.0,0.7644352085497996,0.14022665075178467
2023-06-30,193.97,191.63,194.48,191.26,2.31%,85210000.0,AAPL,0.02310248430824413,0.1500700338614604,61448500.0,1.3866896669568827,0.0,-0.2,0.0,1.3866896669568827,0.13971491947263237
2023-07-03,192.46,193.78,193.88,191.76,-0.78%,31460000.0,AAPL,-0.007784708975614785,0.15546996340235292,59921500.0,0.525020234807206,0.0,-0.2,0.0,-0.525020234807206,0.1500700338614604
2023-07-05,191.33,191.57,192.98,190.62,-0.59%,46920000.0,AAPL,-0.005871349890886446,0.15402808885856406,56170000.0,0.835321345914189,0.0,-0.1,-0.16253922884369998,-0.835321345914189,0.15546996340235292
2023-07-06,191.81,189.84,192.02,189.2,0.25%,45160000.0,AAPL,0.0025087545079180984,0.15280021422720194,55185500.0,0.8183309021391488,0.0,-0.1,0.0,0.8183309021391488,0.15402808885856406
2023-07-07,190.68,191.41,192.67,190.24,-0.59%,46820000.0,AAPL,-0.005891246546061213,0.15112078368133922,54429500.0,0.8601952985054061,0.0,0.0,0.0,-0.8601952985054061,0.15280021422720194
2023-07-10,188.61,189.26,189.99,187.04,-1.09%,59920000.0,AAPL,-0.010855884203901822,0.15244895858060808,54915000.0,1.0911408540471639,0.0,0.0,-0.16043710413064605,-1.0911408540471639,0.15112078368133922
2023-07-11,188.08,189.16,189.3,186.6,-0.28%,46640000.0,AAPL,-0.002810031281480274,0.15349386045115712,54802000.0,0.851063829787234,0.0,0.1,-0.150107654808031,-0.851063829787234,0.15244895858060808
2023-07-12,189.77,189.68,191.7,188.47,0.90%,60750000.0,AAPL,0.008985538068906784,0.1473320450812138,55102000.0,1.1025008166672716,0.0,0.2,0.0,1.1025008166672716,0.15349386045115712
2023-07-13,190.54,190.5,191.19,189.78,0.41%,41340000.0,AAPL,0.004057543341940084,0.14667816928974484,54422500.0,0.7596122927098167,0.0,0.1,0.0,0.7596122927098167,0.1473320450812138
2023-07-14,190.69,190.23,191.18,189.63,0.08%,41620000.0,AAPL,0.000787236275847647,0.146621786872321,53630500.0,0.7760509411622118,0.0,0.0,0.0,0.7760509411622118,0.14667816928974484
2023-07-17,193.99,191.9,194.32,191.81,1.73%,50520000.0,AAPL,0.017305574492632037,0.1532439546252011,52885000.0,0.9552803252339983,0.0,-0.1,0.0,0.9552803252339983,0.146621786872321
2023-07-18,193.73,193.35,194.33,192.41,-0.13%,48350000.0,AAPL,-0.0013402752719213762,0.1509344613684089,50239500.0,0.9623901511758676,0.0,0.0,0.0,-0.9623901511758676,0.1532439546252011
2023-07-19,195.1,193.1,198.23,192.65,0.71%,80510000.0,AAPL,0.007071697723636028,0.1516514960604887,51775000.0,1.5549975857073877,0.0,0.1,0.0,1.5549975857073877,0.1509344613684089
2023-07-20,193.13,195.09,196.47,192.49,-1.01%,59580000.0,AAPL,-0.010097385955920024,0.1556508626735969,52278000.0,1.1396763456903478,0.0,0.0,0.0,-1.1396763456903478,0.1516514960604887
2023-07-21,191.94,194.1,194.97,191.23,-0.62%,71950000.0,AAPL,-0.00616165277274372,0.1491987473276915,53313000.0,1.3495770262412545,0.0,0.0,-0.12211518406138655,-1.3495770262412545,0.1556508626735969
2023-07-24,192.75,193.41,194.91,192.25,0.42%,45510000.0,AAPL,0.004220068771491059,0.14907207724509053,52932500.0,0.8597742407783497,0.0,-0.1,0.0,0.8597742407783497,0.1491987473276915
2023-07-25,193.62,193.33,194.44,192.91,0.45%,37280000.0,AAPL,0.004513618677042919,0.14530535563079733,52392000.0,0.7115590166437624,0.0,-0.2,0.0,0.7115590166437624,0.14907207724509053
2023-07-26,194.5,193.67,195.64,193.32,0.45%,47470000.0,AAPL,0.004544985022208348,0.13759722864007198,52229000.0,0.9088820387141243,0.0,-0.2,0.0,0.9088820387141243,0.14530535563079733
2023-07-27,193.22,196.02,197.2,192.55,-0.66%,47460000.0,AAPL,-0.006580976863753252,0.13948106595575344,52041000.0,0.911973251859111,0.0,-0.1,0.0,-0.911973251859111,0.13759722864007198
2023-07-28,195.83,194.67,196.63,194.14,1.35%,48290000.0,AAPL,0.013507918434944699,0.14631227876018243,52138000.0,0.9261958648202846,0.0,-0.1,0.0,0.9261958648202846,0.13948106595575344
2023-07-31,196.45,196.06,196.49,195.26,0.32%,38820000.0,AAPL,0.0031660113363629616,0.12278421053102523,49818500.0,0.7792285998173369,0.0,-0.2,0.0,0.7792285998173369,0.14631227876018243
