,open,high,low,close,volume,returns,log_returns,volatility,high_low_ratio,gap,volume_ma,volume_ratio,volume_ma50,volume_trend
2026-01-09,259.075,260.21,256.22,259.37,39996967.0,0.0012739345274861424,0.0012731237613982068,0.11035922692481666,0.015383429078150719,0.00013511426806658494,43029910.2,0.9295154652681566,45609378.86,-0.056555662990232514
2026-01-12,259.16,261.3,256.8,260.25,45263767.0,0.0033928364884141526,0.0033870938043550165,0.11308749394495186,0.01729106628242075,-0.0008096541620078634,43630699.25,1.037429327929004,45492919.36,-0.04093428463589366
2026-01-13,258.72,261.81,258.39,261.05,45730847.0,0.00307396733909715,0.003069252361483235,0.11440785394980672,0.013100938517525439,-0.00587896253602295,43940597.25,1.04074249923856,45009805.62,-0.023755009720035303
2026-01-14,259.49,261.82,256.71,259.96,40019421.0,-0.0041754453169892125,-0.00418418683041337,0.10569986893107344,0.01965687028773663,-0.005975866692204567,43421114.4,0.9216580816267581,44086851.58,-0.015100583419797031
2026-01-15,260.65,261.04,257.05,258.21,39388564.0,-0.006731804893060467,-0.006754565696655325,0.10528526186892373,0.015452538631346616,0.0026542545006924055,43508111.2,0.9053154208174405,43870731.2,-0.008265647507602947
2026-01-16,257.9,258.9,254.93,255.53,72142773.0,-0.010379148754889322,-0.010433387748804377,0.10554887576648331,0.015536336242319768,-0.0012005731768715475,44608312.7,1.6172495356454044,44328089.74,0.006321566339619222
2026-01-20,252.73,254.79,243.42,246.7,77280987.0,-0.03455562947599111,-0.03516679604537734,0.15227345692570113,0.046088366436967995,-0.010957617500880567,45890826.0,1.6840182174973273,45021983.72,0.019298178538810884
2026-01-21,248.7,251.56,245.18,247.65,54641725.0,0.0038508309687881326,0.003843435498935823,0.15094885162185212,0.025762164344841493,0.008107012565869478,41391309.85,1.3201255335484388,45090737.32,-0.08204406691657973
2026-01-22,249.2,251.0,248.15,248.35,39708340.0,0.0028265697557035008,0.002822582519112694,0.15217320442249277,0.01147573988322929,0.006258833030486505,41548135.5,0.9557189395418237,44920356.82,-0.07507111605352557
2026-01-23,247.32,249.41,244.68,248.04,41688982.0,-0.0012482383732635993,-0.0012490180716823703,0.1485701475090676,0.01906950491856148,-0.004147372659553054,42150484.65,0.9890510713261752,44927888.22,-0.061819143521720576
2026-01-26,251.48,256.56,249.8,255.41,55969234.0,0.029712949524270282,0.029280073618068572,0.18974569521994733,0.026467248737324266,0.013868730849862917,44053417.65,1.2704856282586285,45123106.54,-0.023706011665038162
2026-01-27,259.17,261.95,258.21,258.27,48787855.0,0.011197682158098576,0.011135452238227017,0.1966626462380654,0.014480969528013355,0.014721428291766255,45416720.3,1.0742267314269278,45130904.0,0.006333050629785619
2026-01-28,257.65,258.855,254.51,256.44,41287971.0,-0.0070856080845626,-0.007110830218916325,0.19660881990444218,0.01694353454999231,-0.002400588531381905,46295358.2,0.891838244811334,44964607.54,0.029595513734133716
2026-01-29,258.0,259.65,254.41,258.28,67253009.0,0.007175167680548933,0.007149548639209559,0.20002838939348058,0.020288059470342193,0.0060832943378568176,48551027.8,1.3852025806135457,45361041.1,0.07032437136898073
2026-01-30,255.165,261.8999,252.18,259.48,92443408.0,0.004646120489391503,0.004635360586588554,0.20157421394939165,0.03745914906736548,-0.012060554437044993,51808516.25,1.7843284211020036,46309544.06,0.11874382055835775
2026-02-02,260.03,270.49,259.205,270.01,73913425.0,0.040581162324649256,0.03977936700470298,0.25236367683215216,0.04179474834265407,0.0021196238631106617,53612284.8,1.3786658277246189,46874267.0,0.14374662754726386
2026-02-03,269.2,271.875,267.61,269.48,63799388.0,-0.0019628902633235246,-0.0019648192570985205,0.24723711162150463,0.015826777497402352,-0.002999888893003971,54519894.7,1.1702038008521685,47341764.92,0.1516236201191461
2026-02-04,272.285,278.95,272.285,276.49,90545710.0,0.026013062193854797,0.025680477850631312,0.2524224776739939,0.02410575427682724,0.010408935728068898,56429575.7,1.6045789619502666,48236207.76,0.16985928870623979
2026-02-05,278.13,279.5,273.23,275.91,52977441.0,-0.0020977250533472658,-0.002099928360374465,0.2500991485960978,0.022724801565727887,0.00593149842670616,56662957.55,0.9349572152715845,48115139.94,0.17765338769998795
2026-02-06,277.12,280.905,276.925,278.12,50453414.0,0.00800985828712264,0.007977949648101178,0.2488415670790029,0.014310369624622326,0.004385488021456198,56664661.4,0.8903858728431403,47812492.3,0.18514343582963577
2026-02-09,277.905,278.2,271.7,274.62,44623396.0,-0.01258449590104993,-0.012664351337211381,0.25539189466924944,0.023669069987619255,-0.0007730476053503229,56895982.85,0.7842978320217207,47766675.82,0.19112292980993972
2026-02-10,274.885,275.37,272.94,273.68,34376898.0,-0.0034229116597480624,-0.0034287832242565278,0.256390798332297,0.00887898275358085,0.0009649697764182738,56351639.4,0.6100425536155741,47785585.32,0.17926021043033646
2026-02-11,274.695,280.18,274.45,275.5,51931283.0,0.006650102309266215,0.006628087923619858,0.2567846184793239,0.020798548094373932,0.0037087109032446154,56661661.2,0.9165153633017734,48421498.58,0.17017570421505956
2026-02-12,275.59,275.72,260.18,261.73,81077229.0,-0.04998185117967324,-0.05127419054863344,0.3176116834705804,0.059374164215030834,0.000326678765880127,58714551.6,1.3808711263325053,49111288.72,0.19554084468749
2026-02-13,262.01,262.23,255.45,255.78,56290673.0,-0.022733351163412796,-0.022995738039161814,0.3273928006004431,0.026507154585972435,0.0010698047606310804,59559657.05,0.9451141223453369,49163711.54,0.21145566891429213
2026-02-17,258.05,266.29,255.54,263.88,58469094.0,0.03166783954961283,0.03117675434949605,0.343782343882562,0.04073821433985156,0.008874814293533545,58875973.1,0.9930892165585286,49462319.68,0.19031969145204486
2026-02-18,263.6,266.82,262.45,264.35,34203337.0,0.0017811126269517974,0.0017795283267892476,0.31583004629246686,0.016531114053338392,-0.001061088373503004,56722090.6,0.6029985255867844,49266605.3,0.15132938944344132
2026-02-19,262.6,264.48,260.05,260.58,30845294.0,-0.01426139587667874,-0.014364066906673809,0.3221575433368199,0.017000537263028654,-0.006620011348590883,55532269.05,0.5554481120198348,48938194.28,0.13474291127849924
2026-02-20,258.97,264.75,258.16,264.58,42070499.0,0.015350372246526911,0.015233747259448463,0.3252523876934867,0.024907400408194027,-0.0061785248292269435,55650377.0,0.7559786881587522,49051477.92,0.13453007656084082
2026-02-23,263.49,269.43,263.381,266.18,37308155.0,0.0060473202812005855,0.006029108624176231,0.3249091322814424,0.02272522353294776,-0.004119736941567673,55431335.65,0.6730517055473477,49162572.82,0.12751087810135475
2026-02-24,267.86,274.89,267.71,272.14,47014619.0,0.022390863325569166,0.02214386810430231,0.3181129475839567,0.026383479091644034,0.006311518521301401,54983604.9,0.8550661435441822,49442098.84,0.11208072047938145
2026-02-25,271.78,274.94,271.05,274.23,33714342.0,0.007679870654810239,0.007650530571124887,0.31720851854961646,0.014185173029938321,-0.0013228485338429251,54229929.25,0.6216925315276896,49451425.96,0.09663024265195519
2026-02-26,274.945,276.11,270.795,272.95,32345114.0,-0.00466761477591815,-0.004678542106070572,0.31628409627090126,0.019472430848140678,0.002607300441235368,53782786.4,0.6014027194396161,49307670.5,0.09075902095192268
2026-02-27,272.81,272.81,262.89,264.18,72366505.0,-0.03213042681809852,-0.03265793923204912,0.3398175941443388,0.03755015519721408,-0.0005129144531965062,54038461.2,1.339166648957058,49746819.04,0.08626968000806667
